document,class_name,class_index,dataset_type
study black hole internet,8,6,train
risk management distribution debt capacity work paper,4,9,train
optimal risk management,4,9,train
black hole stre theory,8,6,train
rate processing part,6,5,train
datum exploration organizing map,3,3,train
fast face detection base processing,3,3,train
flow investigation production process nanoparticle,6,5,train
investigation industrial plant pollution satellite tool cost,7,7,train
function fuel hydrocarbon high intensity combustion reactor,7,7,train
fracture study study hydraulic,7,7,train
european european soil database information access datum distribution procedure summary,0,4,train
group final year individual project report organize map visualize cluster trend,3,3,train
discrete quantum filter feedback control,8,6,train
physics description soil water characteristic,0,4,train
visual exploration gene expression,2,1,train
cooperative search portfolio selection,4,9,train
secure consensus information fusion sensor network,9,8,train
datum analytic procedure monitor specific study,7,7,train
capture option exist coal fire power plant recycle combustion,7,7,train
optimal information graphical model,9,8,train
controller design network control system,5,2,train
support interpretation datum local pattern,2,1,train
subject current load low hybrid,6,5,train
combine neighbor classifier multiple feature subset,3,3,train
ownership structure corporate governance firm evidence asian financial crisis,4,9,train
comparison bus architecture safety critical embed system,5,2,train
platform evolve interactive,3,3,train
robust full learn basis network,3,3,train
evaluate response population density simulation,0,4,train
proceeding remote sense support crop yield forecast area estimate crop production forecast remote sensing,0,4,train
real time aspect train control system,5,2,train
method composite material high contrast conductivity,6,5,train
structural framework nonlinear behavior laminated composite material structure approve,6,5,train
computational prediction experimental verification gene dependent,2,1,train
material material chemistry synthesis periodic active bridge group high loading group,6,5,train
conditional model smooth loss function,3,3,train
control orient direct feedback scheduling,5,2,train
development fiber reflective stress monitor,6,5,train
structure physical behavior group side chain,6,5,train
scope natural gas electric business standard,7,7,train
gamma titanium base,6,5,train
neural network base system application,3,3,train
ownership domain separate policy mechanism,5,2,train
secondary structure model fold,8,6,train
guide selection motif prediction weight matrix,2,1,train
high resolution scheme conservation injection system,7,7,train
simple rule monetary policy,4,9,train
asymptotic cross validation,2,1,train
automatic generation grid computing interface numerical software library,5,2,train
integrate computing tool fault adaptive control,5,2,train
event interest rate swap spread evidence,4,9,train
linear frequency domain technique process impact signal distribute damage concrete,6,5,train
agent base protein structure prediction,2,1,train
survey neural network model,3,3,train
integrate resource control performance management multimedia network,5,2,train
export critical part global oil supply,7,7,train
graph theoretic chemical network reaction coordinate,8,6,train
related spectroscopy bond form silica substrate,6,5,train
